model, nodes, edges, abstract_nodes, abstract_edges, flip_edges, bisimulation_time, rectify_time_concrete_naive, rectify_time_concrete, rectify_time_abstract, number_of_rules, immutable_rules, core_concrete, abstract_concrete, abstract_core_final
1_pulp_and_paper_input.pickle, 371, 298, 77, 85, 0, 0.009847161999999798, 0.06919814999999829, 0.054519162000000065, 0.03259533700000006, 25, 3, 3, 3, 3
1_pulp_and_paper_input.pickle, 371, 298, 77, 85, 0, 0.009847161999999798, 0.0841780700000001, 0.07152624600000124, 0.04604750099999855, 25, 8, 5, 5, 5
1_pulp_and_paper_input.pickle, 371, 298, 77, 85, 0, 0.009847161999999798, 0.04467920399999947, 0.03912530700000083, 0.024606221999999178, 25, 10, 2, 2, 2
1_pulp_and_paper_input.pickle, 371, 298, 77, 85, 0, 0.009847161999999798, 0.06707223000000084, 0.058329550999999924, 0.037676393000001696, 25, 14, 4, 4, 4
2_vehicle_assembly_input.pickle, 1019, 2267, 95, 167, 0, 0.026108390999999287, 0.5116641480000013, 0.4397038010000003, 0.48880711199999993, 47, 19, 19, 19, 19
2_vehicle_assembly_input.pickle, 1019, 2267, 95, 167, 0, 0.026108390999999287, 0.3044274139999992, 0.28098337100000137, 0.5068827220000003, 47, 21, 2, 14, 13
2_vehicle_assembly_input.pickle, 1019, 2267, 95, 167, 0, 0.026108390999999287, 0.501126403999999, 0.46533721199999967, 0.5497725920000001, 47, 34, 13, 18, 17
aag_1_Aug2019.pickle, 1576, 3851, 401, 806, 0, 0.0535442109999984, 0.22601968800000094, 0.17546950999999922, 0.06400561799999949, 29, 1, 1, 1, 1
aag_1_Aug2019.pickle, 1576, 3851, 401, 806, 0, 0.0535442109999984, 0.20184601700000115, 0.20004259499999932, 0.06683924200000035, 29, 2, 1, 1, 1
aag_1_Aug2019.pickle, 1576, 3851, 401, 806, 0, 0.0535442109999984, 0.5230752159999987, 0.46310752300000146, 0.06667266899999902, 29, 4, 2, 1, 1
aag_1_Aug2019.pickle, 1576, 3851, 401, 806, 0, 0.0535442109999984, 0.3428524169999996, 0.2959278040000015, 0.07600233200000162, 29, 5, 1, 1, 1
aag_1_Aug2019.pickle, 1576, 3851, 401, 806, 0, 0.0535442109999984, 0.3633082750000014, 0.3037795129999985, 0.06880248000000222, 29, 6, 1, 1, 1
